Date,CumulativeHumanInfected,HumanInfected,MosquitoExposed,HumanRecovered,HumanSusceptible,HumanExposed,MosquitoSusceptible,MosquitoInfected
738,8,,,,,,,
739,15,,,,,,,
740,20,,,,,,,
741,23,,,,,,,
742,24,,,,,,,
743,28,,,,,,,
744,35,,,,,,,
745,37,,,,,,,
746,41,,,,,,,
747,44,,,,,,,
748,52,,,,,,,
749,58,,,,,,,
750,63,,,,,,,
751,68,,,,,,,
752,74,,,,,,,
753,79,,,,,,,
754,88,,,,,,,
755,103,,,,,,,
756,121,,,,,,,
757,141,,,,,,,
758,163,,,,,,,
759,182,,,,,,,
760,218,,,,,,,
761,243,,,,,,,
762,273,,,,,,,
763,309,,,,,,,
764,330,,,,,,,
765,361,,,,,,,
766,379,,,,,,,
767,404,,,,,,,
768,425,,,,,,,
769,438,,,,,,,
770,455,,,,,,,
771,475,,,,,,,
772,486,,,,,,,
773,499,,,,,,,
774,513,,,,,,,
775,524,,,,,,,
776,527,,,,,,,
777,543,,,,,,,
778,549,,,,,,,
779,554,,,,,,,
780,563,,,,,,,
781,569,,,,,,,
782,575,,,,,,,
783,588,,,,,,,
784,601,,,,,,,
785,616,,,,,,,
