rain_sum,temperature_2m_mean,cases
0.0,28.808594,68.0
0.028571429,30.092821,153.0
0.0,29.91544,241.0
0.22857144,29.143713,357.0
0.0,31.688953,470.0
0.10000001,30.169308,583.0
2.2428572,29.65264,725.0
1.3428571,30.947285,838.0
1.1571429,31.293118,948.0
0.22857143,32.222584,1073.0
6.3714285,29.019903,1226.0
6.914286,28.782999,1385.0
6.457143,27.809488,1549.0
5.7999997,29.086868,1770.0
4.7714286,28.533596,1991.0
7.957143,29.120798,2304.0
5.6142855,28.330915,2751.0
4.571429,28.288654,3326.0
7.985714,27.785679,3978.0
15.142858,26.518118,4664.0
12.585714,26.487762,5490.0
1.942857,27.960083,6407.0
6.285714,27.304129,7395.0
5.642857,26.963655,8554.0
8.3,26.441036,9608.0
23.528574,25.962763,10574.0
10.900001,26.209188,11280.0
15.185715,26.400558,11969.0
6.085715,26.783596,12544.0
3.3142858,27.409487,13033.0
5.085714,26.72169,13468.0
8.271428,27.12913,13843.0
11.8714285,25.891333,14230.0
12.985715,25.227047,14509.0
13.7,25.791035,14790.0
6.971429,25.327047,14994.0
1.6,26.163654,15247.0
7.328572,26.315441,15486.0
0.90000004,26.020203,15756.0
0.042857144,26.817823,16032.0
5.2857146,25.907108,16259.0
17.47143,25.722881,16461.0
1.8428571,26.152048,16608.0
1.4142857,25.923178,16741.0
0.0,24.169607,16834.0
2.0142856,25.911572,16876.0
7.614285,21.807405,16889.0
0.0,21.91931,16889.0
