rain_sum,temperature_2m_mean,cases
13.528571,25.219954,5
4.942857,26.621737,10
5.5,26.297037,14
12.457144,26.39406,14
8.4,26.323822,14
9.457143,26.255371,14
8.528571,25.550905,14
3.5285716,26.506857,14
12.157144,25.193464,16
10.1,25.601797,20
8.114285,26.408941,24
7.2428565,24.965193,27
6.128571,25.874418,30
12.242857,24.985727,35
6.7142854,26.013407,41
5.714286,25.56519,55
9.471429,24.767275,58
3.942857,25.343168,65
6.5142856,24.826498,76
4.928571,24.384832,78
4.1285715,25.160727,84
5.7285714,24.527393,92
1.5714285,25.263704,117
10.8714285,24.280369,138
3.7285714,25.291082,148
2.8142858,25.913107,176
1.9857142,25.257751,215
4.9857144,25.44257,235
4.1857142,26.172037,259
6.1571436,25.612513,287
5.2,25.980667,313
3.6000001,25.153286,321
3.6142857,27.185429,330
8.8714285,26.176203,342
8.328571,26.418167,360
4.828572,26.308643,369
11.471429,25.65031,378
7.071429,26.202692,384
7.3428574,25.948523,390
9.199999,25.874416,398
5.514286,26.363405,403
6.728572,26.012213,410
4.0571427,26.958645,416
7.3428574,26.227692,421
7.571429,25.61757,424
7.428571,25.572035,425
3.614286,26.591976,425
4.6285715,26.489594,426
