Date,CumulativeHumanInfected,HumanInfected,MosquitoExposed,HumanRecovered,HumanSusceptible,HumanExposed,MosquitoSusceptible,MosquitoInfected
266,5,,,,,,,
267,10,,,,,,,
268,14,,,,,,,
269,14,,,,,,,
270,14,,,,,,,
271,14,,,,,,,
272,14,,,,,,,
273,14,,,,,,,
274,16,,,,,,,
275,20,,,,,,,
276,24,,,,,,,
277,27,,,,,,,
278,30,,,,,,,
279,35,,,,,,,
280,41,,,,,,,
281,55,,,,,,,
282,58,,,,,,,
283,65,,,,,,,
284,76,,,,,,,
285,78,,,,,,,
286,84,,,,,,,
287,92,,,,,,,
288,117,,,,,,,
289,138,,,,,,,
290,148,,,,,,,
291,176,,,,,,,
292,215,,,,,,,
293,235,,,,,,,
294,259,,,,,,,
295,287,,,,,,,
296,313,,,,,,,
297,321,,,,,,,
298,330,,,,,,,
299,342,,,,,,,
300,360,,,,,,,
301,369,,,,,,,
302,378,,,,,,,
303,384,,,,,,,
304,390,,,,,,,
305,398,,,,,,,
306,403,,,,,,,
307,410,,,,,,,
308,416,,,,,,,
309,421,,,,,,,
310,424,,,,,,,
311,425,,,,,,,
312,425,,,,,,,
313,426,,,,,,,
