temperature_2m_mean,rain_sum
25.219954,13.528571
26.621737,4.942857
26.297037,5.5
26.39406,12.457144
26.323822,8.4
26.255371,9.457143
25.550905,8.528571
26.506857,3.5285716
25.193464,12.157144
25.601797,10.1
26.408941,8.114285
24.965193,7.2428565
25.874418,6.128571
24.985727,12.242857
26.013407,6.7142854
25.56519,5.714286
24.767275,9.471429
25.343168,3.942857
24.826498,6.5142856
24.384832,4.928571
25.160727,4.1285715
24.527393,5.7285714
25.263704,1.5714285
24.280369,10.8714285
25.291082,3.7285714
25.913107,2.8142858
25.257751,1.9857142
25.44257,4.9857144
26.172037,4.1857142
25.612513,6.1571436
25.980667,5.2
25.153286,3.6000001
27.185429,3.6142857
26.176203,8.8714285
26.418167,8.328571
26.308643,4.828572
25.65031,11.471429
26.202692,7.071429
25.948523,7.3428574
25.874416,9.199999
26.363405,5.514286
26.012213,6.728572
26.958645,4.0571427
26.227692,7.3428574
25.61757,7.571429
25.572035,7.428571
26.591976,3.614286
26.489594,4.6285715
