rain_sum,temperature_2m_mean,cases
0.61428577,25.321072,2537.0
2.5428574,24.360355,5126.0
0.8000001,25.748154,7377.0
3.1285713,26.060059,9509.0
2.0142858,26.528212,11449.0
0.9571429,27.015417,13344.0
0.45714286,27.098452,15217.0
1.2,27.47345,16922.0
0.17142858,27.754404,18801.0
0.4857143,28.04101,20780.0
3.8285713,27.181784,22859.0
5.4428573,27.089523,25111.0
4.6285715,27.321367,27608.0
3.9857142,26.878809,30302.0
5.4714284,27.057083,33387.0
10.228571,26.211548,37131.0
15.699999,25.943094,41582.0
12.742858,26.458273,47300.0
9.485715,26.060953,54090.0
7.4571424,26.142202,61199.0
9.714287,25.87226,69453.0
14.442858,25.554998,77588.0
11.699999,25.596071,85945.0
13.314285,25.618393,94402.0
6.171429,26.374044,102108.0
10.442857,25.685652,109793.0
4.114286,26.630596,116945.0
7.957143,26.134464,123661.0
12.6285715,25.705593,130039.0
12.785714,26.170773,136807.0
19.571428,25.479404,143917.0
5.5714293,25.893986,150228.0
6.0714293,25.782679,155812.0
6.914286,25.554108,160549.0
1.8428574,25.13744,164900.0
3.0,25.413631,169254.0
6.5,25.746367,173124.0
3.414286,25.795773,176973.0
3.5571427,24.884762,180095.0
2.257143,25.486546,183342.0
14.114286,24.710653,186421.0
1.8000001,25.483274,189188.0
2.2142856,25.434164,191690.0
2.3857143,25.180893,193062.0
0.42857143,24.882677,195574.0
0.38571432,24.037441,197651.0
2.9428573,22.587143,199556.0
0.34285715,22.20024,201056.0
