temperature_2m_mean,rain_sum
25.321072,0.61428577
24.360355,2.5428574
25.748154,0.8000001
26.060059,3.1285713
26.528212,2.0142858
27.015417,0.9571429
27.098452,0.45714286
27.47345,1.2
27.754404,0.17142858
28.04101,0.4857143
27.181784,3.8285713
27.089523,5.4428573
27.321367,4.6285715
26.878809,3.9857142
27.057083,5.4714284
26.211548,10.228571
25.943094,15.699999
26.458273,12.742858
26.060953,9.485715
26.142202,7.4571424
25.87226,9.714287
25.554998,14.442858
25.596071,11.699999
25.618393,13.314285
26.374044,6.171429
25.685652,10.442857
26.630596,4.114286
26.134464,7.957143
25.705593,12.6285715
26.170773,12.785714
25.479404,19.571428
25.893986,5.5714293
25.782679,6.0714293
25.554108,6.914286
25.13744,1.8428574
25.413631,3.0
25.746367,6.5
25.795773,3.414286
24.884762,3.5571427
25.486546,2.257143
24.710653,14.114286
25.483274,1.8000001
25.434164,2.2142856
25.180893,2.3857143
24.882677,0.42857143
24.037441,0.38571432
22.587143,2.9428573
22.20024,0.34285715
