rain_sum,temperature_2m_mean,cases
0.58571434,24.443762,6
0.0,24.810131,12
0.18571427,24.623823,20
0.21428572,24.430666,33
0.8428572,24.311916,41
1.0,24.649715,49
1.5571429,23.94287,54
0.6571428,24.576202,70
0.45714286,24.292871,82
1.5,23.47561,93
0.22857143,23.671438,111
0.62857145,25.625608,121
0.014285714,25.228287,143
4.6571426,24.500906,157
0.2857143,25.284536,173
1.8428571,24.758942,191
1.5571429,24.767868,218
0.32857147,25.896738,256
0.64285713,25.317572,291
0.62857145,26.662216,332
7.2571425,25.852987,383
0.54285717,26.950312,448
0.5142857,26.697927,503
0.34285715,27.619656,557
0.5285714,27.788107,619
1.4714285,27.559238,683
0.6571428,27.880667,739
3.3285713,27.091084,804
1.3714285,27.288406,875
0.8142857,27.62025,950
1.1,28.261618,1021
3.6571429,27.16132,1093
1.6428572,27.230967,1140
3.2857144,27.267868,1167
1.0,27.606558,1202
1.1,27.727392,1227
2.357143,27.54912,1246
1.2142857,27.74406,1283
0.85714287,28.077394,1321
4.242857,27.215193,1355
2.0571427,27.604773,1381
1.3285714,27.613998,1400
5.3857145,26.528881,1418
4.4714284,26.164597,1440
1.1714286,26.563406,1456
2.2571428,26.193464,1474
4.4714284,26.002394,1480
0.5,26.09019,1492
