rain_sum,temperature_2m_mean,cases
1.7714287,15.440309,1444.0
1.2714285,19.129297,2700.0
2.642857,20.63763,3837.0
4.842857,19.702213,5279.0
10.014285,17.26144,6466.0
4.542857,20.103405,7363.0
3.128571,21.539415,8498.0
4.357143,21.842392,9683.0
27.914286,20.274832,10749.0
7.2999997,22.337332,12018.0
5.5428576,21.402807,13202.0
16.6,21.127808,14641.0
26.914286,20.937332,16232.0
5.2857146,23.227808,18027.0
9.114286,22.285547,20110.0
4.528571,22.944178,22566.0
6.9999995,22.685247,26059.0
4.928571,22.422749,29993.0
7.3285713,22.071856,34624.0
18.685715,20.99001,38999.0
14.1,20.966497,44360.0
25.757143,21.259356,50638.0
2.4714284,23.4912,57867.0
3.9857142,23.263523,65912.0
5.3142858,21.66888,74177.0
8.085714,21.63049,81490.0
4.085714,21.959654,87749.0
4.4428573,22.463522,93735.0
23.928572,21.213522,98939.0
2.3142855,21.437632,103174.0
3.8142858,21.04031,107357.0
7.428571,20.026022,111166.0
7.6857147,19.905191,114668.0
4.3857145,18.178402,117796.0
6.0571427,17.963224,120481.0
70.799995,16.967688,123115.0
24.085714,18.190607,125426.0
5.7000003,19.752213,127770.0
40.600002,16.394178,129944.0
17.528572,17.218285,131998.0
5.1285715,15.465308,134052.0
9.571427,15.867392,135765.0
3.2714288,12.291799,137121.0
10.642858,14.535846,138001.0
3.4571426,16.934952,139486.0
5.7571425,13.120964,140742.0
1.5285714,14.918584,141903.0
2.1857142,17.363226,142854.0
