temperature_2m_mean,rain_sum
15.440309,1.7714287
19.129297,1.2714285
20.63763,2.642857
19.702213,4.842857
17.26144,10.014285
20.103405,4.542857
21.539415,3.128571
21.842392,4.357143
20.274832,27.914286
22.337332,7.2999997
21.402807,5.5428576
21.127808,16.6
20.937332,26.914286
23.227808,5.2857146
22.285547,9.114286
22.944178,4.528571
22.685247,6.9999995
22.422749,4.928571
22.071856,7.3285713
20.99001,18.685715
20.966497,14.1
21.259356,25.757143
23.4912,2.4714284
23.263523,3.9857142
21.66888,5.3142858
21.63049,8.085714
21.959654,4.085714
22.463522,4.4428573
21.213522,23.928572
21.437632,2.3142855
21.04031,3.8142858
20.026022,7.428571
19.905191,7.6857147
18.178402,4.3857145
17.963224,6.0571427
16.967688,70.799995
18.190607,24.085714
19.752213,5.7000003
16.394178,40.600002
17.218285,17.528572
15.465308,5.1285715
15.867392,9.571427
12.291799,3.2714288
14.535846,10.642858
16.934952,3.4571426
13.120964,5.7571425
14.918584,1.5285714
17.363226,2.1857142
