Parameters,Lower,Upper
E_0,0,95000
L_0,0,95000
P_0,0,95000
M_s_0,0,1200000
M_e_0,0,100
M_i_0,0,100
H_s_0,244402,321734
H_e_0,18,72
H_r_0,81405,158809
C,6400,95000
sigma,0.35,0.45
gamma,0.5,1.75
mu_H,0.0004,0.0004
beta_M,0,4
beta_H,0,4
theta_M,0.58,0.88
theta_H,0.7,1.75
alpha_b,20,240
alpha_E,1.4,3.5
alpha_L,1.4,1.4
alpha_P,2.33,3.5
a_b,0,10
a_E,0,10
a_L,0,10
a_P,0,10
c_E,0,10
c_L,0,10
c_P,0,10
c_M,0,10
d_E,0,1
d_L,0,1
d_P,0,1
d_M,0,1
T_b_max,10,40
T_E_max,10,40
T_L_max,10,40
T_P_max,10,40
T_E_min,10,40
T_L_min,10,40
T_P_min,10,40
T_M_min,10,40
R_b,0,300
R_E,0,300
R_L,0,300
R_P,0,300
r_b,0,10
r_E,0,10
r_L,0,10
r_P,0,10
s_b,0,10
s_E,0,10
s_L,0,10
s_P,0,10
e_E,0,10
e_L,0,10
e_P,0,10
