rain_sum,temperature_2m_mean,cases
2.557143,20.056536,8
14.228572,19.34731,14
10.242858,18.812786,19
4.7714286,18.78987,23
8.3,18.901178,26
8.028571,18.69969,32
6.928572,19.035107,38
2.257143,20.149393,49
5.642857,19.79701,53
17.52857,18.424097,60
8.485715,17.721714,75
7.9,18.719332,91
5.8428574,18.807428,101
17.085714,18.01844,116
10.8714285,17.480047,138
9.014285,18.143438,150
6.085714,18.548498,171
11.885715,18.305048,195
3.8571432,18.651474,214
6.085714,18.863083,228
3.1571426,18.638975,241
0.55714285,19.269629,254
1.5,19.345226,268
2.9142857,19.607725,285
7.2,19.342844,299
1.1285714,20.72826,313
1.5571429,20.617846,328
7.442858,19.488379,344
1.7571429,19.801178,358
0.45714283,22.256535,373
4.042857,19.020523,390
6.4428573,19.056835,402
7.585714,18.806238,418
12.757142,18.688082,424
15.285714,18.591654,432
7.1857142,19.277666,436
15.199999,18.85594,445
12.285714,18.35832,451
9.085714,18.799688,455
17.157145,19.125286,466
16.742859,18.966951,471
13.942858,18.026178,476
15.214286,17.983915,478
10.099999,18.522013,484
7.428571,18.969034,489
8.3,18.633022,493
5.3857145,18.837189,504
2.9142857,19.614569,512
