Date,CumulativeHumanInfected,HumanInfected,MosquitoExposed,HumanRecovered,HumanSusceptible,HumanExposed,MosquitoSusceptible,MosquitoInfected
345,8,,,,,,,
346,14,,,,,,,
347,19,,,,,,,
348,23,,,,,,,
349,26,,,,,,,
350,32,,,,,,,
351,38,,,,,,,
352,49,,,,,,,
353,53,,,,,,,
354,60,,,,,,,
355,75,,,,,,,
356,91,,,,,,,
357,101,,,,,,,
358,116,,,,,,,
359,138,,,,,,,
360,150,,,,,,,
361,171,,,,,,,
362,195,,,,,,,
363,214,,,,,,,
364,228,,,,,,,
365,241,,,,,,,
366,254,,,,,,,
367,268,,,,,,,
368,285,,,,,,,
369,299,,,,,,,
370,313,,,,,,,
371,328,,,,,,,
372,344,,,,,,,
373,358,,,,,,,
374,373,,,,,,,
375,390,,,,,,,
376,402,,,,,,,
377,418,,,,,,,
378,424,,,,,,,
379,432,,,,,,,
380,436,,,,,,,
381,445,,,,,,,
382,451,,,,,,,
383,455,,,,,,,
384,466,,,,,,,
385,471,,,,,,,
386,476,,,,,,,
387,478,,,,,,,
388,484,,,,,,,
389,489,,,,,,,
390,493,,,,,,,
391,504,,,,,,,
392,512,,,,,,,
