temperature_2m_mean,rain_sum
20.056536,2.557143
19.34731,14.228572
18.812786,10.242858
18.78987,4.7714286
18.901178,8.3
18.69969,8.028571
19.035107,6.928572
20.149393,2.257143
19.79701,5.642857
18.424097,17.52857
17.721714,8.485715
18.719332,7.9
18.807428,5.8428574
18.01844,17.085714
17.480047,10.8714285
18.143438,9.014285
18.548498,6.085714
18.305048,11.885715
18.651474,3.8571432
18.863083,6.085714
18.638975,3.1571426
19.269629,0.55714285
19.345226,1.5
19.607725,2.9142857
19.342844,7.2
20.72826,1.1285714
20.617846,1.5571429
19.488379,7.442858
19.801178,1.7571429
22.256535,0.45714283
19.020523,4.042857
19.056835,6.4428573
18.806238,7.585714
18.688082,12.757142
18.591654,15.285714
19.277666,7.1857142
18.85594,15.199999
18.35832,12.285714
18.799688,9.085714
19.125286,17.157145
18.966951,16.742859
18.026178,13.942858
17.983915,15.214286
18.522013,10.099999
18.969034,7.428571
18.633022,8.3
18.837189,5.3857145
19.614569,2.9142857
