rain_sum,temperature_2m_mean,cases
0.5,29.174368,141.0
0.88571423,29.845201,272.0
1.7428572,28.808893,471.0
7.7571425,27.577345,660.0
1.2571429,27.72437,893.0
6.328572,27.963358,1175.0
0.9142858,28.816036,1525.0
11.557142,27.488657,1923.0
8.028571,27.716928,2501.0
2.9714284,28.317524,3185.0
4.4142857,28.273773,4055.0
3.2142856,27.930323,5133.0
7.671428,27.726154,6280.0
6.4,27.473476,7524.0
5.4857144,27.509487,8948.0
4.5571427,27.13062,10261.0
2.142857,27.728237,11647.0
8.771429,27.236273,13140.0
5.6285715,28.035084,14618.0
11.400001,26.652346,16106.0
4.6714287,27.01187,17472.0
9.400001,26.253536,18751.0
4.6142855,27.478832,19991.0
4.1285715,26.97794,21250.0
10.571428,26.096096,22334.0
9.3714285,26.474962,23365.0
10.342857,26.281214,24342.0
18.157145,25.347584,25309.0
4.4,26.716335,26301.0
15.8,25.015738,27215.0
5.1,26.225859,28168.0
11.0,25.332998,29087.0
12.799998,25.213655,29967.0
4.0857143,26.257107,30779.0
0.35714287,26.932703,31523.0
2.3428574,26.685976,32359.0
1.7857143,25.675562,33146.0
0.071428575,27.019903,33773.0
0.7714286,27.180023,34289.0
0.0,26.82883,34878.0
1.7,25.648773,35355.0
0.0,25.32437,35784.0
0.0,26.305918,36129.0
0.0,27.041334,36432.0
0.071428575,27.911867,36735.0
0.057142857,27.305319,37101.0
3.457143,26.774668,37380.0
0.057142857,27.798773,37666.0
