temperature_2m_mean,rain_sum
29.174368,0.5
29.845201,0.88571423
28.808893,1.7428572
27.577345,7.7571425
27.72437,1.2571429
27.963358,6.328572
28.816036,0.9142858
27.488657,11.557142
27.716928,8.028571
28.317524,2.9714284
28.273773,4.4142857
27.930323,3.2142856
27.726154,7.671428
27.473476,6.4
27.509487,5.4857144
27.13062,4.5571427
27.728237,2.142857
27.236273,8.771429
28.035084,5.6285715
26.652346,11.400001
27.01187,4.6714287
26.253536,9.400001
27.478832,4.6142855
26.97794,4.1285715
26.096096,10.571428
26.474962,9.3714285
26.281214,10.342857
25.347584,18.157145
26.716335,4.4
25.015738,15.8
26.225859,5.1
25.332998,11.0
25.213655,12.799998
26.257107,4.0857143
26.932703,0.35714287
26.685976,2.3428574
25.675562,1.7857143
27.019903,0.071428575
27.180023,0.7714286
26.82883,0.0
25.648773,1.7
25.32437,0.0
26.305918,0.0
27.041334,0.0
27.911867,0.071428575
27.305319,0.057142857
26.774668,3.457143
27.798773,0.057142857
