rain_sum,temperature_2m_mean,cases
5.957143,26.314596,5
7.914285,25.906857,18
7.2999997,25.327394,20
8.1,25.921143,31
10.442857,26.26549,42
9.0,25.821142,45
2.1285713,27.527098,52
0.62857145,27.86192,59
12.142858,25.80775,63
9.042857,25.024418,68
5.6142855,25.462513,74
13.471428,25.814894,81
7.9571424,25.278582,88
11.571428,25.399717,92
10.528571,25.897629,101
7.857143,26.086025,118
5.828572,26.310133,126
13.32857,25.88037,148
6.228572,25.5768,166
6.885714,25.49257,187
10.742857,25.557156,203
8.571428,25.652393,234
7.1,25.314,259
7.214286,25.821142,287
11.557143,24.957453,313
7.728572,25.78394,331
8.828572,25.114595,358
4.1142855,25.523525,369
4.9714284,25.763704,407
6.357143,24.407156,436
7.0428576,24.297333,457
5.4571424,23.889002,468
8.1285715,24.053585,478
7.2571425,23.979177,483
5.5285716,24.244656,489
6.3857145,24.81876,491
5.057143,24.062809,492
2.8285713,24.96043,494
5.4,24.66043,496
6.5999994,25.116085,499
4.5,25.532452,504
5.0285716,25.146143,505
3.8285713,25.70775,509
2.5714283,25.93156,511
5.7428575,25.890192,515
4.7571425,26.089893,515
4.442857,25.936619,515
6.2428565,25.726797,515
