Date,CumulativeHumanInfected,HumanInfected,MosquitoExposed,HumanRecovered,HumanSusceptible,HumanExposed,MosquitoSusceptible,MosquitoInfected
99,5,,,,,,,
100,18,,,,,,,
101,20,,,,,,,
102,31,,,,,,,
103,42,,,,,,,
104,45,,,,,,,
105,52,,,,,,,
106,59,,,,,,,
107,63,,,,,,,
108,68,,,,,,,
109,74,,,,,,,
110,81,,,,,,,
111,88,,,,,,,
112,92,,,,,,,
113,101,,,,,,,
114,118,,,,,,,
115,126,,,,,,,
116,148,,,,,,,
117,166,,,,,,,
118,187,,,,,,,
119,203,,,,,,,
120,234,,,,,,,
121,259,,,,,,,
122,287,,,,,,,
123,313,,,,,,,
124,331,,,,,,,
125,358,,,,,,,
126,369,,,,,,,
127,407,,,,,,,
128,436,,,,,,,
129,457,,,,,,,
130,468,,,,,,,
131,478,,,,,,,
132,483,,,,,,,
133,489,,,,,,,
134,491,,,,,,,
135,492,,,,,,,
136,494,,,,,,,
137,496,,,,,,,
138,499,,,,,,,
139,504,,,,,,,
140,505,,,,,,,
141,509,,,,,,,
142,511,,,,,,,
143,515,,,,,,,
144,515,,,,,,,
145,515,,,,,,,
146,515,,,,,,,
