rain_sum,temperature_2m_mean,cases
5.157143,25.026129,1566.0
2.0,25.779999,3133.0
0.17142858,25.733868,4732.0
1.9571427,26.433569,6142.0
0.64285713,26.76839,7711.0
2.4285715,26.878511,9249.0
0.8428572,27.331486,10820.0
0.58571434,27.512737,12836.0
0.58571434,27.601427,15202.0
0.27142859,28.050537,18140.0
3.1571429,27.412142,21650.0
3.3857143,27.420774,25700.0
12.185715,26.358868,30291.0
7.214286,26.840418,35772.0
5.8857145,26.455893,42777.0
7.214286,26.632084,51053.0
0.17142858,26.991308,60028.0
10.557143,26.384167,68877.0
6.1142855,26.021666,77314.0
4.6,26.177618,86037.0
6.442857,26.639822,94126.0
3.8,26.64607,101200.0
3.4714284,26.443987,107989.0
8.471429,26.157679,114144.0
11.114286,26.049643,119093.0
6.285714,26.224344,123662.0
5.542857,26.363632,127723.0
11.542857,25.95351,130642.0
2.6142857,26.580893,132261.0
9.142858,26.138035,132547.0
0.88571423,26.574642,133099.16111093573
1.6285714,26.127619,133905.0962277274
0.9285714,26.446964,134380.41824529527
1.2142857,26.213629,134820.09643203096
0.9142857,26.437439,136636.83494315678
2.0285716,26.04012,139558.7319888
1.7142857,25.903513,143191.55879409472
0.9857144,26.154108,147141.08658417503
31.04286,24.98714,151013.08658417503
1.6571428,25.27107,154473.08658417503
2.5714285,25.032679,157577.08658417503
0.7285714,25.199047,160573.08658417503
1.1,25.190714,163405.08658417503
2.1285715,25.085058,166047.08658417503
4.0571427,24.474644,168359.08658417503
6.3428574,24.658869,170508.08658417503
2.2999997,24.035952,173475.08658417503
0.8428572,24.568392,176442.08658417503
