rain_sum,temperature_2m_mean,cases
2.2,23.943762,17
1.4857143,24.592274,27
0.9714286,24.05418,36
1.7571428,23.608047,47
1.057143,23.739,67
1.3714286,23.154774,80
0.71428573,22.700907,91
1.357143,23.134832,107
0.51428574,22.792276,118
0.24285714,24.126799,125
0.028571429,24.430965,142
0.64285713,23.99168,156
0.12857144,25.143763,169
1.1714286,25.154179,184
2.2,24.631262,214
0.5285715,24.708645,239
0.12857144,26.76787,279
0.35714287,26.358347,323
0.42857143,26.952393,348
5.014286,26.26787,369
3.6285713,26.149714,417
1.6142857,26.969059,473
2.942857,27.421442,533
5.7999997,26.469654,578
14.185714,25.988405,633
4.457143,26.108942,665
1.9285715,26.945547,711
2.2428572,26.383047,772
3.7142856,26.306858,814
3.457143,26.323822,851
1.8571428,26.814894,894
2.1142857,27.383047,928
2.0142856,26.906263,968
0.9571429,27.395845,993
3.857143,27.088406,1009
3.957143,26.981562,1026
3.585714,26.903881,1043
4.7999997,26.860132,1059
1.6999999,26.822037,1082
3.357143,27.070845,1100
6.4714284,26.125309,1118
2.3999996,26.277391,1127
4.1142855,25.839598,1134
5.6714287,26.219656,1141
3.7714286,26.210133,1145
3.6571429,25.170847,1148
4.971429,25.22382,1150
12.214286,24.868763,1158
