Date,CumulativeHumanInfected,HumanInfected,MosquitoExposed,HumanRecovered,HumanSusceptible,HumanExposed,MosquitoSusceptible,MosquitoInfected
468,17,,,,,,,
469,27,,,,,,,
470,36,,,,,,,
471,47,,,,,,,
472,67,,,,,,,
473,80,,,,,,,
474,91,,,,,,,
475,107,,,,,,,
476,118,,,,,,,
477,125,,,,,,,
478,142,,,,,,,
479,156,,,,,,,
480,169,,,,,,,
481,184,,,,,,,
482,214,,,,,,,
483,239,,,,,,,
484,279,,,,,,,
485,323,,,,,,,
486,348,,,,,,,
487,369,,,,,,,
488,417,,,,,,,
489,473,,,,,,,
490,533,,,,,,,
491,578,,,,,,,
492,633,,,,,,,
493,665,,,,,,,
494,711,,,,,,,
495,772,,,,,,,
496,814,,,,,,,
497,851,,,,,,,
498,894,,,,,,,
499,928,,,,,,,
500,968,,,,,,,
501,993,,,,,,,
502,1009,,,,,,,
503,1026,,,,,,,
504,1043,,,,,,,
505,1059,,,,,,,
506,1082,,,,,,,
507,1100,,,,,,,
508,1118,,,,,,,
509,1127,,,,,,,
510,1134,,,,,,,
511,1141,,,,,,,
512,1145,,,,,,,
513,1148,,,,,,,
514,1150,,,,,,,
515,1158,,,,,,,
