rain_sum,temperature_2m_mean,cases
3.0,19.567095,696.0
8.3,21.536142,1392.0
6.9857144,21.200426,2315.0
5.3428574,22.434061,3181.0
4.0142856,22.259058,4274.0
2.8285713,22.173939,5215.0
5.0000005,21.955187,6403.0
8.7,22.178404,7799.0
4.828572,23.081976,9366.0
3.7142856,23.296858,11294.0
3.857143,22.174534,13088.0
6.6,23.302511,15091.0
13.314285,21.378403,17150.0
8.728572,22.128405,19532.0
6.2285714,22.201023,21838.0
7.3142853,22.432272,24428.0
7.542857,21.889713,27018.0
8.685715,22.468582,29817.0
8.842857,22.417986,32805.0
4.342857,22.283167,35698.0
6.0142856,21.65013,38857.0
7.442857,20.597153,42015.0
12.185715,20.57275,45781.0
4.8142853,20.9287,49547.0
13.285715,18.741201,53750.0
10.8,19.058167,58352.0
1.9714286,20.49269,63220.0
3.371429,19.589117,67726.0
1.4142857,17.142391,72631.0
7.614286,18.689713,77954.0
0.7285715,19.143284,83182.0
13.585713,17.804892,87724.0
14.957143,17.22513,92551.0
18.857143,18.393879,97263.0
46.714287,16.253405,104536.0
3.2285714,16.938522,107715.0
23.014284,16.541796,110836.0
11.585715,14.551321,114451.0
1.2285715,16.927214,117837.0
17.2,15.815309,119834.0
5.8142858,14.06769,121716.0
1.5571429,15.845071,124511.0
0.071428575,19.864712,126620.0
0.55714285,17.702808,128291.0
1.0857143,20.012035,130114.0
0.21428572,19.224237,131746.0
0.51428574,21.696856,133473.0
2.7714286,19.517689,134533.0
