temperature_2m_mean,rain_sum
19.567095,3.0
21.536142,8.3
21.200426,6.9857144
22.434061,5.3428574
22.259058,4.0142856
22.173939,2.8285713
21.955187,5.0000005
22.178404,8.7
23.081976,4.828572
23.296858,3.7142856
22.174534,3.857143
23.302511,6.6
21.378403,13.314285
22.128405,8.728572
22.201023,6.2285714
22.432272,7.3142853
21.889713,7.542857
22.468582,8.685715
22.417986,8.842857
22.283167,4.342857
21.65013,6.0142856
20.597153,7.442857
20.57275,12.185715
20.9287,4.8142853
18.741201,13.285715
19.058167,10.8
20.49269,1.9714286
19.589117,3.371429
17.142391,1.4142857
18.689713,7.614286
19.143284,0.7285715
17.804892,13.585713
17.22513,14.957143
18.393879,18.857143
16.253405,46.714287
16.938522,3.2285714
16.541796,23.014284
14.551321,11.585715
16.927214,1.2285715
15.815309,17.2
14.06769,5.8142858
15.845071,1.5571429
19.864712,0.071428575
17.702808,0.55714285
20.012035,1.0857143
19.224237,0.21428572
21.696856,0.51428574
19.517689,2.7714286
