date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,precipMM,humidity,tempC,week,year
2009-11-30,26,16,0.0,10.0,5,5.1,89,26,49,2009
2009-12-01,26,17,0.0,9.0,5,3.1,87,26,49,2009
2009-12-02,27,16,0.0,8.0,5,0.4,86,27,49,2009
2009-12-03,25,16,0.0,12.0,6,0.0,89,25,49,2009
2009-12-04,26,16,0.0,11.0,5,0.3,82,26,49,2009
2009-12-05,25,17,0.0,10.0,5,1.6,84,25,49,2009
2009-12-06,24,16,0.0,9.0,4,1.4,84,24,49,2009
2009-12-07,23,14,0.0,7.0,4,2.3,86,23,50,2009
2009-12-08,24,16,0.0,9.0,4,3.5,91,24,50,2009
2009-12-09,23,16,0.0,9.0,4,5.9,91,23,50,2009
2009-12-10,23,16,0.0,11.0,4,5.7,95,23,50,2009
2009-12-11,23,16,0.0,11.0,4,9.1,97,23,50,2009
2009-12-12,24,15,0.0,6.0,4,4.1,93,24,50,2009
2009-12-13,26,16,0.0,11.0,4,0.1,86,26,50,2009
2009-12-14,27,15,0.0,11.0,5,0.2,75,27,51,2009
2009-12-15,27,16,0.0,11.0,6,0.0,81,27,51,2009
2009-12-16,26,16,0.0,11.0,5,1.6,83,26,51,2009
2009-12-17,24,17,0.0,10.0,4,0.4,87,24,51,2009
2009-12-18,24,17,0.0,10.0,4,12.1,96,24,51,2009
2009-12-19,20,17,0.0,2.0,4,68.8,99,20,51,2009
2009-12-20,22,16,0.0,7.0,4,18.3,97,22,51,2009
2009-12-21,22,17,0.0,6.0,4,14.2,98,22,52,2009
2009-12-22,23,15,0.0,6.0,4,12.0,93,23,52,2009
2009-12-23,23,16,0.0,9.0,4,4.7,96,23,52,2009
2009-12-24,23,16,0.0,1.0,4,3.8,99,23,52,2009
2009-12-25,23,16,0.0,8.0,4,2.8,93,23,52,2009
2009-12-26,23,15,0.0,8.0,4,12.6,96,23,52,2009
2009-12-27,23,16,0.0,10.0,4,19.6,98,23,52,2009
2010-01-04,27,15,0.0,11.0,4,0.0,77,27,1,2010
2010-01-05,27,15,0.0,10.0,4,0.1,79,27,1,2010
2010-01-06,25,15,0.0,12.0,5,0.0,80,25,1,2010
2010-01-07,26,15,0.0,11.0,4,0.0,81,26,1,2010
2010-01-08,28,16,0.0,12.0,6,0.0,77,28,1,2010
2010-01-09,27,16,0.0,10.0,5,1.2,80,27,1,2010
2010-01-10,22,16,0.0,11.0,4,10.4,91,22,1,2010
2010-01-11,25,15,0.0,12.0,5,0.0,81,25,2,2010
2010-01-12,26,14,0.0,11.0,4,0.0,81,26,2,2010
2010-01-13,26,16,0.0,12.0,4,0.1,82,26,2,2010
2010-01-14,29,14,0.0,11.0,5,0.3,69,29,2,2010
2010-01-15,26,15,0.0,12.0,5,0.0,72,26,2,2010
2010-01-16,27,16,0.0,12.0,6,0.0,75,27,2,2010
2010-01-17,26,16,0.0,12.0,6,0.0,78,26,2,2010
2010-01-18,29,16,0.0,12.0,6,0.0,76,29,3,2010
2010-01-19,26,16,0.0,12.0,6,0.0,79,26,3,2010
2010-01-20,27,17,0.0,12.0,6,0.0,73,27,3,2010
2010-01-21,28,17,0.0,12.0,6,0.0,69,28,3,2010
2010-01-22,27,17,0.0,12.0,6,0.0,75,27,3,2010
2010-01-23,24,16,0.0,8.0,4,1.8,89,24,3,2010
2010-01-24,24,15,0.0,8.0,4,2.5,90,24,3,2010
2010-01-25,25,16,0.0,10.0,4,5.1,94,25,4,2010
2010-01-26,23,16,0.0,10.0,4,3.5,92,23,4,2010
2010-01-27,26,16,0.0,11.0,4,0.9,87,26,4,2010
2010-01-28,24,16,0.0,11.0,4,1.3,92,24,4,2010
2010-01-29,24,16,0.0,9.0,4,3.3,88,24,4,2010
2010-01-30,26,17,0.0,11.0,5,0.2,84,26,4,2010
2010-01-31,28,16,0.0,12.0,5,0.1,76,28,4,2010
2010-02-01,27,17,0.0,12.0,6,0.0,74,27,5,2010
2010-02-02,27,17,0.0,12.0,6,0.0,74,27,5,2010
2010-02-03,27,17,0.0,12.0,6,0.0,79,27,5,2010
2010-02-04,30,18,0.0,12.0,6,0.3,74,30,5,2010
2010-02-05,26,17,0.0,12.0,6,0.7,85,26,5,2010
